fixture_id,date,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season,matchday,home_team_id,home_team,away_team_id,away_team,division,result,match_id
laliga_102249,2026-08-15,1,0,12,8,4,2,5,3,2,3,0,0,2026/27,1,alaves,Deportivo Alavés,getafe,Getafe CF,SP1,H,laliga_102249
laliga_102250,2026-08-15,2,0,16,7,6,2,7,2,1,2,0,0,2026/27,1,atletico_madrid,Atlético de Madrid,malaga,Málaga CF,SP1,H,laliga_102250
laliga_102251,2026-08-16,1,1,11,10,3,3,4,4,2,2,0,0,2026/27,1,celta,RC Celta,osasuna,CA Osasuna,SP1,D,laliga_102251
laliga_102252,2026-08-16,0,0,9,8,2,2,3,5,3,2,0,0,2026/27,1,deportivo,RC Deportivo,elche,Elche CF,SP1,D,laliga_102252
laliga_102253,2026-08-16,1,2,10,13,3,5,4,6,2,1,0,0,2026/27,1,espanyol,RCD Espanyol,levante,Levante UD,SP1,A,laliga_102253
laliga_102254,2026-08-16,2,1,18,9,7,3,8,3,1,3,0,0,2026/27,1,barcelona,FC Barcelona,athletic_bilbao,Athletic Club,SP1,H,laliga_102254
laliga_102255,2026-08-16,1,1,12,12,4,4,5,5,2,2,0,0,2026/27,1,racing_santander,Racing de Santander,villarreal,Villarreal CF,SP1,D,laliga_102255
laliga_102256,2026-08-17,2,0,17,8,6,2,6,4,1,2,0,0,2026/27,1,real_madrid,Real Madrid,real_sociedad,Real Sociedad,SP1,H,laliga_102256
laliga_102257,2026-08-17,1,0,13,9,5,2,5,4,3,3,0,0,2026/27,1,sevilla,Sevilla FC,vallecano,Rayo Vallecano,SP1,H,laliga_102257
laliga_102258,2026-08-17,1,1,11,12,4,4,4,6,2,2,0,0,2026/27,1,valencia,Valencia CF,betis,Real Betis,SP1,D,laliga_102258
