team_id,team,snapshot_date,promoted,segunda_position,division_changed,history_matches,season_matches_pre,days_since_last_match,form_matches_5,form_ppg_5,form_win_rate_5,form_draw_rate_5,form_goals_for_avg_5,form_goals_against_avg_5,form_goal_difference_avg_5,form_shots_on_target_for_avg_5,form_shots_on_target_against_avg_5,form_matches_10,form_ppg_10,form_goals_for_avg_10,form_goals_against_avg_10,form_goal_difference_avg_10,home_venue_ppg_5,home_venue_win_rate_5,home_venue_goals_for_avg_5,home_venue_goals_against_avg_5,home_venue_shots_on_target_for_avg_5,away_venue_ppg_5,away_venue_win_rate_5,away_venue_goals_for_avg_5,away_venue_goals_against_avg_5,away_venue_shots_on_target_for_avg_5,season_ppg_pre,season_win_rate_pre,season_goals_for_avg_pre,season_goals_against_avg_pre,season_goal_difference_avg_pre,league_position_pre,elo_pre,current_points,current_goal_difference
alaves,Deportivo Alavés,2026-08-18,0,,0,385,1,3,5,2.0,0.6,0.2,1.0,0.6,0.4,4.6,2.8,10,1.5,1.5,1.5,0.0,1.8,0.6,1.4,1.4,5.2,1.6,0.4,2.0,1.8,3.6,3.0,1.0,1.0,0.0,1.0,5.0,1489.7769840697529,3,1
athletic_bilbao,Athletic Club,2026-08-18,0,,0,381,1,2,5,0.2,0.0,0.2,0.8,2.0,-1.2,4.4,5.0,10,0.7,1.2,1.9,-0.7,1.4,0.4,1.0,1.0,5.4,0.6,0.2,1.8,2.6,3.4,0.0,0.0,1.0,2.0,-1.0,15.0,1491.6715194353978,0,-1
atletico_madrid,Atlético de Madrid,2026-08-18,0,,0,381,1,3,5,1.8,0.6,0.0,1.2,1.4,-0.19999999999999996,4.4,5.4,10,1.5,1.5,1.6,-0.10000000000000009,1.8,0.6,1.4,1.0,4.0,1.2,0.4,1.6,2.2,3.6,3.0,1.0,2.0,0.0,2.0,1.0,1577.3708957161211,3,2
barcelona,FC Barcelona,2026-08-18,0,,0,381,1,2,5,1.8,0.6,0.0,1.6,1.2,0.40000000000000013,5.4,3.0,10,2.4,1.9,0.9,0.9999999999999999,3.0,1.0,2.4,0.6,7.2,1.8,0.6,1.4,1.2,4.0,3.0,1.0,2.0,1.0,1.0,3.0,1674.1910013311833,3,1
betis,Real Betis,2026-08-18,0,,0,381,1,1,5,1.6,0.4,0.4,1.6,1.6,0.0,5.4,5.6,10,1.7,1.6,1.2,0.40000000000000013,2.2,0.6,1.6,0.6,6.0,1.2,0.2,1.6,1.8,3.6,1.0,0.0,1.0,1.0,0.0,10.0,1555.7914399878646,1,0
celta,RC Celta,2026-08-18,0,,0,381,1,2,5,1.6,0.4,0.4,1.2,1.0,0.19999999999999996,3.0,4.8,10,1.4,1.3,1.4,-0.09999999999999987,1.4,0.4,1.4,1.6,4.4,1.4,0.4,1.2,1.2,2.8,1.0,0.0,1.0,1.0,0.0,8.0,1517.6410813362293,1,0
deportivo,RC Deportivo,2026-08-18,1,2.0,1,161,1,2,5,2.0,0.6,0.2,1.2,0.6,0.6,4.6,2.2,10,1.9,1.4,0.8,0.5999999999999999,2.0,0.6,1.6,1.0,4.4,1.8,0.4,1.2,0.6,4.0,1.0,0.0,0.0,0.0,0.0,14.0,1454.018319934787,1,0
elche,Elche CF,2026-08-18,0,,0,237,1,2,5,1.2,0.2,0.6,0.8,0.8,0.0,2.6,4.0,10,1.5,1.1,1.1,0.0,2.6,0.8,1.6,0.8,4.0,1.0,0.2,1.0,1.4,2.6,1.0,0.0,0.0,0.0,0.0,13.0,1476.5295389929652,1,0
espanyol,RCD Espanyol,2026-08-18,0,,0,347,1,2,5,1.4,0.4,0.2,1.4,1.2,0.19999999999999996,4.8,5.4,10,0.9,0.8,1.3,-0.5,1.0,0.2,0.8,1.0,4.4,0.8,0.2,0.8,1.6,3.0,0.0,0.0,1.0,2.0,-1.0,16.0,1458.4914947689454,0,-1
getafe,Getafe CF,2026-08-18,0,,0,343,1,3,5,1.4,0.4,0.2,0.8,0.6,0.20000000000000007,2.6,3.6,10,1.3,0.7,0.8,-0.10000000000000009,1.8,0.6,1.2,1.0,3.2,0.8,0.2,0.2,0.6,1.4,0.0,0.0,0.0,1.0,-1.0,17.0,1484.1941859972617,0,-1
