team_id,team,simulations,expected_points_current,median_points,points_p05,points_p95,expected_goals_for,expected_goals_against,expected_goal_difference,expected_position,median_position,champion_probability_current,top4_probability_current,top6_probability,europe_top7_probability_current,relegation_probability_current,last_place_probability,champion_probability_preseason,top4_probability_preseason,europe_top7_probability_preseason,relegation_probability_preseason,expected_points_preseason,champion_probability_change,top4_probability_change,europe_top7_probability_change,relegation_probability_change,expected_points_change
barcelona,FC Barcelona,300,81.85,83.0,70.0,92.05000000000001,90.04333333333334,39.15,50.89333333333333,1.5533333333333332,1.0,0.5733333333333334,0.9966666666666667,1.0,1.0,0.0,0.0,0.53748,0.96314,0.99478,0.0,74.66914,0.035853333333333404,0.033526666666666705,0.005220000000000002,0.0,7.180859999999996
real_madrid,Real Madrid,300,79.55666666666667,80.0,68.0,91.0,78.45333333333333,34.79666666666667,43.656666666666666,1.84,2.0,0.37333333333333335,0.99,0.9966666666666667,0.9966666666666667,0.0,0.0,0.33054,0.91814,0.98402,6e-05,71.61856,0.04279333333333335,0.07186000000000003,0.012646666666666695,-6e-05,7.93810666666667
atletico_madrid,Atlético de Madrid,300,67.92333333333333,68.0,55.0,79.0,64.72666666666667,40.28333333333333,24.44333333333333,3.6066666666666665,3.0,0.04666666666666667,0.7933333333333333,0.94,0.9566666666666667,0.0,0.0,0.04216,0.5199,0.81166,0.00396,61.38876,0.004506666666666666,0.2734333333333333,0.14500666666666662,-0.00396,6.534573333333334
villarreal,Villarreal CF,300,60.596666666666664,61.0,48.0,74.05000000000001,67.02666666666667,51.07,15.956666666666667,5.753333333333333,5.0,0.0033333333333333335,0.41,0.7,0.79,0.0033333333333333335,0.0,0.05948,0.5956,0.85564,0.0024,62.8004,-0.056146666666666664,-0.18560000000000004,-0.06563999999999992,0.0009333333333333338,-2.2037333333333393
betis,Real Betis,300,56.61,56.5,43.0,70.0,55.82666666666667,47.68333333333333,8.143333333333333,7.196666666666666,6.0,0.0,0.2866666666666667,0.5433333333333333,0.65,0.013333333333333334,0.0,0.01768,0.3332,0.66398,0.01312,57.87236,-0.01768,-0.046533333333333315,-0.013979999999999992,0.00021333333333333447,-1.262360000000001
levante,Levante UD,300,54.33,54.0,43.0,67.0,54.84,55.81666666666667,-0.9766666666666667,8.203333333333333,7.5,0.0,0.16333333333333333,0.43666666666666665,0.5,0.016666666666666666,0.0033333333333333335,0.00076,0.04374,0.18968,0.14932,48.00702,-0.00076,0.11959333333333333,0.31032000000000004,-0.13265333333333335,6.322980000000001
celta,RC Celta,300,50.51,50.0,39.0,64.0,51.88666666666666,53.626666666666665,-1.74,10.126666666666667,10.0,0.0,0.08,0.24666666666666667,0.32,0.056666666666666664,0.016666666666666666,0.00302,0.11326,0.35624,0.06458,51.89406,-0.00302,-0.03326,-0.036239999999999994,-0.007913333333333335,-1.3840600000000052
valencia,Valencia CF,300,49.63333333333333,50.0,37.0,62.0,47.14,50.803333333333335,-3.6633333333333336,10.556666666666667,10.0,0.0033333333333333335,0.05333333333333334,0.19,0.2733333333333333,0.06333333333333334,0.02,0.00116,0.0683,0.25338,0.10526,49.68972,0.0021733333333333335,-0.014966666666666663,0.019953333333333323,-0.04192666666666667,-0.05638666666666836
alaves,Deportivo Alavés,300,49.593333333333334,49.0,39.0,62.0,44.52,50.23,-5.71,10.776666666666667,11.0,0.0,0.043333333333333335,0.17333333333333334,0.24666666666666667,0.043333333333333335,0.01,0.00034,0.03262,0.14982,0.19034,46.83056,-0.00034,0.010713333333333332,0.09684666666666666,-0.14700666666666667,2.7627733333333353
sevilla,Sevilla FC,300,48.55,49.0,35.0,61.0,46.346666666666664,53.443333333333335,-7.096666666666667,11.273333333333333,11.0,0.0,0.03666666666666667,0.15333333333333332,0.23,0.10333333333333333,0.03333333333333333,0.00034,0.02956,0.14232,0.19818,46.58534,-0.00034,0.007106666666666667,0.08768000000000001,-0.09484666666666666,1.964659999999995
