team_id,team,segunda_season,laliga_season,has_segunda_statistics,segunda_position,segunda_played,segunda_wins,segunda_draws,segunda_losses,segunda_goals_for,segunda_goals_against,segunda_goal_difference,segunda_points,laliga_position,laliga_played,laliga_wins,laliga_draws,laliga_losses,laliga_goals_for,laliga_goals_against,laliga_goal_difference,laliga_points,promotion_type,relegated_after_first_season,identification_method
getafe,Getafe CF,2016/17,2017/18,False,,,,,,,,,,8,38,15,10,13,42,33,9,55,,False,new_team_vs_previous_laliga_season
girona,Girona FC,2016/17,2017/18,False,,,,,,,,,,10,38,14,9,15,50,59,-9,51,,False,new_team_vs_previous_laliga_season
levante,Levante UD,2016/17,2017/18,False,,,,,,,,,,15,38,11,13,14,44,58,-14,46,,False,new_team_vs_previous_laliga_season
huesca,SD Huesca,2017/18,2018/19,False,,,,,,,,,,19,38,7,12,19,43,65,-22,33,,True,new_team_vs_previous_laliga_season
valladolid,Real Valladolid,2017/18,2018/19,False,,,,,,,,,,17,38,10,11,17,32,51,-19,41,,False,new_team_vs_previous_laliga_season
vallecano,Rayo Vallecano,2017/18,2018/19,False,,,,,,,,,,20,38,8,8,22,41,70,-29,32,,True,new_team_vs_previous_laliga_season
granada,Granada CF,2018/19,2019/20,False,,,,,,,,,,7,38,16,8,14,52,45,7,56,,False,new_team_vs_previous_laliga_season
mallorca,RCD Mallorca,2018/19,2019/20,False,,,,,,,,,,19,38,9,6,23,40,65,-25,33,,True,new_team_vs_previous_laliga_season
osasuna,CA Osasuna,2018/19,2019/20,False,,,,,,,,,,10,38,13,13,12,46,54,-8,52,,False,new_team_vs_previous_laliga_season
cadiz,Cádiz CF,2019/20,2020/21,False,,,,,,,,,,12,38,11,11,16,36,58,-22,44,,False,new_team_vs_previous_laliga_season
elche,Elche CF,2019/20,2020/21,False,,,,,,,,,,17,38,8,12,18,34,55,-21,36,,False,new_team_vs_previous_laliga_season
huesca,SD Huesca,2019/20,2020/21,False,,,,,,,,,,18,38,7,13,18,34,53,-19,34,,True,new_team_vs_previous_laliga_season
espanyol,RCD Espanyol,2020/21,2021/22,False,,,,,,,,,,14,38,10,12,16,40,53,-13,42,,False,new_team_vs_previous_laliga_season
mallorca,RCD Mallorca,2020/21,2021/22,False,,,,,,,,,,17,38,10,9,19,36,63,-27,39,,False,new_team_vs_previous_laliga_season
vallecano,Rayo Vallecano,2020/21,2021/22,False,,,,,,,,,,12,38,11,9,18,39,50,-11,42,,False,new_team_vs_previous_laliga_season
almeria,UD Almería,2021/22,2022/23,True,1,42,24,9,9,68,35,33,81,17,38,11,8,19,49,65,-16,41,direct,False,new_team_vs_previous_laliga_season
valladolid,Real Valladolid,2021/22,2022/23,True,2,42,24,9,9,71,43,28,81,18,38,11,7,20,33,63,-30,40,direct,True,new_team_vs_previous_laliga_season
girona,Girona FC,2021/22,2022/23,True,7,42,20,8,14,57,42,15,68,10,38,13,10,15,58,55,3,49,playoff,False,new_team_vs_previous_laliga_season
granada,Granada CF,2022/23,2023/24,True,1,42,22,9,11,55,30,25,75,20,38,4,9,25,38,79,-41,21,direct,True,new_team_vs_previous_laliga_season
las_palmas,UD Las Palmas,2022/23,2023/24,True,2,42,18,18,6,49,29,20,72,16,38,10,10,18,33,47,-14,40,direct,False,new_team_vs_previous_laliga_season
alaves,Deportivo Alavés,2022/23,2023/24,True,4,42,19,14,9,47,33,14,71,10,38,12,10,16,36,46,-10,46,playoff,False,new_team_vs_previous_laliga_season
leganes,CD Leganés,2023/24,2024/25,True,1,42,20,14,8,56,27,29,74,18,38,9,13,16,39,56,-17,40,direct,True,new_team_vs_previous_laliga_season
valladolid,Real Valladolid,2023/24,2024/25,True,2,42,21,9,12,51,36,15,72,20,38,4,4,30,26,90,-64,16,direct,True,new_team_vs_previous_laliga_season
espanyol,RCD Espanyol,2023/24,2024/25,True,4,42,17,18,7,59,40,19,69,15,38,11,9,18,40,51,-11,42,playoff,False,new_team_vs_previous_laliga_season
levante,Levante UD,2024/25,2025/26,True,1,42,22,13,7,69,42,27,79,18,38,11,9,18,47,61,-14,42,direct,False,new_team_vs_previous_laliga_season
elche,Elche CF,2024/25,2025/26,True,2,42,22,11,9,59,34,25,77,13,38,10,13,15,49,57,-8,43,direct,False,new_team_vs_previous_laliga_season
oviedo,Real Oviedo,2024/25,2025/26,True,4,42,21,12,9,56,42,14,75,20,38,6,11,21,26,60,-34,29,playoff,True,new_team_vs_previous_laliga_season
racing_santander,Racing de Santander,2025/26,2026/27,True,1,42,25,7,10,90,61,29,82,,,,,,,,,,direct,,new_team_in_official_2026_27_fixture
deportivo,RC Deportivo,2025/26,2026/27,True,2,42,22,11,9,65,44,21,77,,,,,,,,,,direct,,new_team_in_official_2026_27_fixture
malaga,Málaga CF,2025/26,2026/27,True,4,42,21,10,11,75,52,23,73,,,,,,,,,,playoff,,new_team_in_official_2026_27_fixture
