team_id,canonical_name,known_aliases
alaves,Deportivo Alavés,Alaves | Deportivo Alavés
albacete,Albacete Balompié,Albacete
alcorcon,AD Alcorcón,Alcorcon
almeria,UD Almería,Almeria
amorebieta,SD Amorebieta,Amorebieta
andorra,FC Andorra,Andorra
athletic_bilbao,Athletic Club,Ath Bilbao | Athletic Club
atletico_madrid,Atlético de Madrid,Ath Madrid | Atlético de Madrid
barcelona,FC Barcelona,Barcelona | FC Barcelona
betis,Real Betis,Betis | Real Betis
burgos,Burgos CF,Burgos
cadiz,Cádiz CF,Cadiz
cartagena,FC Cartagena,Cartagena
castellon,CD Castellón,Castellon
celta,RC Celta,Celta | RC Celta
ceuta,AD Ceuta FC,Ceuta
cordoba,Córdoba CF,Cordoba
cultural_leonesa,Cultural Leonesa,Cultural Leonesa
deportivo,RC Deportivo,La Coruna | RC Deportivo
eibar,SD Eibar,Eibar
elche,Elche CF,Elche | Elche CF
eldense,CD Eldense,Eldense
espanyol,RCD Espanyol,Espanol | RCD Espanyol de Barcelona
ferrol,Racing de Ferrol,Ferrol
fuenlabrada,CF Fuenlabrada,Fuenlabrada
getafe,Getafe CF,Getafe | Getafe CF
girona,Girona FC,Girona
granada,Granada CF,Granada
huesca,SD Huesca,Huesca
ibiza,UD Ibiza,Ibiza
las_palmas,UD Las Palmas,Las Palmas
leganes,CD Leganés,Leganes
levante,Levante UD,Levante | Levante UD
lugo,CD Lugo,Lugo
malaga,Málaga CF,Malaga | Málaga CF
mallorca,RCD Mallorca,Mallorca
mirandes,CD Mirandés,Mirandes
osasuna,CA Osasuna,CA Osasuna | Osasuna
oviedo,Real Oviedo,Oviedo
ponferradina,SD Ponferradina,Ponferradina
racing_santander,Racing de Santander,R. Racing Club | Santander
real_madrid,Real Madrid,Real Madrid
real_sociedad,Real Sociedad,Real Sociedad | Sociedad
real_sociedad_b,Real Sociedad B,Sociedad B
sevilla,Sevilla FC,Sevilla | Sevilla FC
sporting_gijon,Sporting de Gijón,Sp Gijon
tenerife,CD Tenerife,Tenerife
valencia,Valencia CF,Valencia | Valencia CF
valladolid,Real Valladolid,Valladolid
vallecano,Rayo Vallecano,Rayo Vallecano | Vallecano
villarreal,Villarreal CF,Villarreal | Villarreal CF
villarreal_b,Villarreal B,Villarreal B
zaragoza,Real Zaragoza,Zaragoza
