split,model,class,bin,observations,mean_probability,observed_rate,calibration_gap
test,hist_boost_market,H,1,2,0.08818922472674973,0.0,-0.08818922472674973
test,hist_boost_market,H,2,39,0.14968254938846717,0.1794871794871795,0.029804630098712315
test,hist_boost_market,H,3,47,0.2504112927012494,0.3617021276595745,0.11129083495832509
test,hist_boost_market,H,4,62,0.3488394273634772,0.3870967741935484,0.038257346830071204
test,hist_boost_market,H,5,85,0.45075692706968873,0.5058823529411764,0.05512542587148772
test,hist_boost_market,H,6,75,0.5481429518648424,0.5333333333333333,-0.014809618531509083
test,hist_boost_market,H,7,31,0.6430339150654694,0.7096774193548387,0.06664350428936938
test,hist_boost_market,H,8,30,0.7484982252035979,0.8333333333333334,0.08483510812973549
test,hist_boost_market,H,9,9,0.8326644797630471,0.8888888888888888,0.0562244091258417
test,hist_boost_market,D,1,3,0.0938588683567354,0.3333333333333333,0.2394744649765979
test,hist_boost_market,D,2,71,0.16154879943030265,0.16901408450704225,0.007465285076739603
test,hist_boost_market,D,3,176,0.25005055138790416,0.2556818181818182,0.005631266793914014
test,hist_boost_market,D,4,102,0.3414543566277454,0.24509803921568626,-0.09635631741205916
test,hist_boost_market,D,5,24,0.4347660914603753,0.4166666666666667,-0.01809942479370863
test,hist_boost_market,D,6,3,0.5518823349026739,0.0,-0.5518823349026739
test,hist_boost_market,D,7,1,0.6114441440848891,0.0,-0.6114441440848891
test,hist_boost_market,A,1,40,0.0736131084756477,0.05,-0.023613108475647696
test,hist_boost_market,A,2,102,0.15287578567402202,0.13725490196078433,-0.015620883713237693
test,hist_boost_market,A,3,98,0.24802839921174072,0.3163265306122449,0.0682981314005042
test,hist_boost_market,A,4,57,0.34727891946265255,0.19298245614035087,-0.15429646332230168
test,hist_boost_market,A,5,34,0.4581669611830455,0.4411764705882353,-0.016990490594810226
test,hist_boost_market,A,6,23,0.5404495017777865,0.5652173913043478,0.024767889526561282
test,hist_boost_market,A,7,20,0.6453890458103271,0.55,-0.09538904581032703
test,hist_boost_market,A,8,6,0.7391659938547424,0.6666666666666666,-0.07249932718807572
test,hist_boost_sports,H,2,26,0.1657820793568247,0.11538461538461539,-0.050397463972209317
test,hist_boost_sports,H,3,63,0.24854037770736223,0.31746031746031744,0.06891993975295521
test,hist_boost_sports,H,4,75,0.3539936265154145,0.4266666666666667,0.0726730401512522
test,hist_boost_sports,H,5,83,0.44681572638529427,0.4819277108433735,0.035111984458079226
