split,model,actual,predicted,matches
test,hist_boost_market,H,H,143
test,hist_boost_market,H,D,17
test,hist_boost_market,H,A,26
test,hist_boost_market,D,H,53
test,hist_boost_market,D,D,17
test,hist_boost_market,D,A,23
test,hist_boost_market,A,H,48
test,hist_boost_market,A,D,8
test,hist_boost_market,A,A,45
test,hist_boost_sports,H,H,139
test,hist_boost_sports,H,D,18
test,hist_boost_sports,H,A,29
test,hist_boost_sports,D,H,50
test,hist_boost_sports,D,D,15
test,hist_boost_sports,D,A,28
test,hist_boost_sports,A,H,49
test,hist_boost_sports,A,D,6
test,hist_boost_sports,A,A,46
test,random_forest_market,H,H,158
test,random_forest_market,H,D,1
test,random_forest_market,H,A,27
test,random_forest_market,D,H,64
test,random_forest_market,D,D,1
test,random_forest_market,D,A,28
test,random_forest_market,A,H,54
test,random_forest_market,A,D,1
test,random_forest_market,A,A,46
test,random_forest_sports,H,H,156
test,random_forest_sports,H,D,1
test,random_forest_sports,H,A,29
test,random_forest_sports,D,H,63
test,random_forest_sports,D,D,1
test,random_forest_sports,D,A,29
test,random_forest_sports,A,H,56
test,random_forest_sports,A,D,0
test,random_forest_sports,A,A,45
validation,hist_boost_market,H,H,284
validation,hist_boost_market,H,D,20
validation,hist_boost_market,H,A,32
validation,hist_boost_market,D,H,125
validation,hist_boost_market,D,D,28
validation,hist_boost_market,D,A,51
validation,hist_boost_market,A,H,88
validation,hist_boost_market,A,D,26
validation,hist_boost_market,A,A,106
validation,hist_boost_sports,H,H,277
validation,hist_boost_sports,H,D,21
validation,hist_boost_sports,H,A,38
validation,hist_boost_sports,D,H,131
validation,hist_boost_sports,D,D,17
validation,hist_boost_sports,D,A,56
validation,hist_boost_sports,A,H,92
validation,hist_boost_sports,A,D,18
validation,hist_boost_sports,A,A,110
validation,random_forest_market,H,H,295
validation,random_forest_market,H,D,1
validation,random_forest_market,H,A,40
validation,random_forest_market,D,H,138
validation,random_forest_market,D,D,1
validation,random_forest_market,D,A,65
validation,random_forest_market,A,H,98
validation,random_forest_market,A,D,2
validation,random_forest_market,A,A,120
validation,random_forest_sports,H,H,291
validation,random_forest_sports,H,D,1
validation,random_forest_sports,H,A,44
validation,random_forest_sports,D,H,144
validation,random_forest_sports,D,D,1
validation,random_forest_sports,D,A,59
validation,random_forest_sports,A,H,98
validation,random_forest_sports,A,D,0
validation,random_forest_sports,A,A,122
