source_column,files_present,files_total,coverage
1XBA,2,15,0.13333333333333333
1XBCA,2,15,0.13333333333333333
1XBCD,2,15,0.13333333333333333
1XBCH,2,15,0.13333333333333333
1XBD,2,15,0.13333333333333333
1XBH,2,15,0.13333333333333333
AC,15,15,1.0
AF,15,15,1.0
AHCh,12,15,0.8
AHh,12,15,0.8
AR,15,15,1.0
AS,15,15,1.0
AST,15,15,1.0
AY,15,15,1.0
Avg<2.5,12,15,0.8
Avg>2.5,12,15,0.8
AvgA,12,15,0.8
AvgAHA,12,15,0.8
AvgAHH,12,15,0.8
AvgC<2.5,12,15,0.8
AvgC>2.5,12,15,0.8
AvgCA,12,15,0.8
AvgCAHA,12,15,0.8
AvgCAHH,12,15,0.8
AvgCD,12,15,0.8
AvgCH,12,15,0.8
AvgD,12,15,0.8
AvgH,12,15,0.8
AwayTeam,15,15,1.0
B365<2.5,12,15,0.8
B365>2.5,12,15,0.8
B365A,15,15,1.0
B365AHA,12,15,0.8
B365AHH,12,15,0.8
B365C<2.5,12,15,0.8
B365C>2.5,12,15,0.8
B365CA,12,15,0.8
B365CAHA,12,15,0.8
B365CAHH,12,15,0.8
B365CD,12,15,0.8
B365CH,12,15,0.8
B365D,15,15,1.0
B365H,15,15,1.0
BFA,2,15,0.13333333333333333
BFCA,2,15,0.13333333333333333
BFCD,2,15,0.13333333333333333
BFCH,2,15,0.13333333333333333
BFD,2,15,0.13333333333333333
BFDA,2,15,0.13333333333333333
BFDCA,2,15,0.13333333333333333
BFDCD,2,15,0.13333333333333333
BFDCH,2,15,0.13333333333333333
BFDD,2,15,0.13333333333333333
BFDH,2,15,0.13333333333333333
BFE<2.5,4,15,0.26666666666666666
BFE>2.5,4,15,0.26666666666666666
BFEA,4,15,0.26666666666666666
BFEAHA,4,15,0.26666666666666666
BFEAHH,4,15,0.26666666666666666
BFEC<2.5,4,15,0.26666666666666666
BFEC>2.5,4,15,0.26666666666666666
BFECA,4,15,0.26666666666666666
BFECAHA,4,15,0.26666666666666666
BFECAHH,4,15,0.26666666666666666
