division,season,source_file,rows,columns,teams,date_min,date_max,invalid_dates,duplicates,result_errors,missing_core_values,actual_division_codes,audit_status,B365H_coverage,B365D_coverage,B365A_coverage,AvgH_coverage,AvgD_coverage,AvgA_coverage
SP1,2016/17,data/raw/laliga/SP1_2016_17.csv,380,64,20,2016-08-19,2017-05-21,0,0,0,0,SP1,PASS,1.0,1.0,1.0,0.0,0.0,0.0
SP1,2017/18,data/raw/laliga/SP1_2017_18.csv,380,64,20,2017-08-18,2018-05-20,0,0,0,0,SP1,PASS,1.0,1.0,1.0,0.0,0.0,0.0
SP1,2018/19,data/raw/laliga/SP1_2018_19.csv,380,61,20,2018-08-17,2019-05-19,0,0,0,0,SP1,PASS,1.0,1.0,1.0,0.0,0.0,0.0
SP1,2019/20,data/raw/laliga/SP1_2019_20.csv,380,105,20,2019-08-16,2020-07-19,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2020/21,data/raw/laliga/SP1_2020_21.csv,380,105,20,2020-09-12,2021-05-23,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2021/22,data/raw/laliga/SP1_2021_22.csv,380,105,20,2021-08-13,2022-05-22,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2022/23,data/raw/laliga/SP1_2022_23.csv,380,105,20,2022-08-12,2023-06-04,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2023/24,data/raw/laliga/SP1_2023_24.csv,380,105,20,2023-08-11,2024-05-26,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2024/25,data/raw/laliga/SP1_2024_25.csv,380,119,20,2024-08-15,2025-05-25,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP1,2025/26,data/raw/laliga/SP1_2025_26.csv,380,131,20,2025-08-15,2026-05-24,0,0,0,0,SP1,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP2,2021/22,data/raw/segunda/SP2_2021_22.csv,462,105,22,2021-08-13,2022-05-29,0,0,0,0,SP2,PASS,0.9957,0.9957,0.9957,1.0,1.0,1.0
SP2,2022/23,data/raw/segunda/SP2_2022_23.csv,462,105,22,2022-08-12,2023-05-28,0,0,0,0,SP2,PASS,0.9935,0.9935,0.9935,1.0,1.0,1.0
SP2,2023/24,data/raw/segunda/SP2_2023_24.csv,462,105,22,2023-08-11,2024-06-02,0,0,0,0,SP2,PASS,0.9978,0.9978,0.9978,1.0,1.0,1.0
SP2,2024/25,data/raw/segunda/SP2_2024_25.csv,462,119,22,2024-08-15,2025-06-01,0,0,0,0,SP2,PASS,1.0,1.0,1.0,1.0,1.0,1.0
SP2,2025/26,data/raw/segunda/SP2_2025_26.csv,462,131,22,2025-08-15,2026-05-31,0,0,0,0,SP2,PASS,1.0,1.0,1.0,1.0,1.0,1.0
