scoreline,matches,rate,rank
1-1,487,0.1281578947368421,1
1-0,443,0.11657894736842105,2
2-1,362,0.09526315789473684,3
0-1,298,0.07842105263157895,4
0-0,282,0.07421052631578948,5
2-0,276,0.07263157894736842,6
1-2,250,0.06578947368421052,7
2-2,190,0.05,8
0-2,189,0.049736842105263156,9
3-0,154,0.04052631578947368,10
3-1,139,0.03657894736842105,11
3-2,93,0.024473684210526314,12
0-3,74,0.019473684210526317,13
2-3,67,0.017631578947368422,14
1-3,66,0.017368421052631578,15
4-0,61,0.016052631578947367,16
4-1,57,0.015,17
4-2,37,0.009736842105263158,18
1-4,37,0.009736842105263158,19
3-3,32,0.008421052631578947,20
2-4,26,0.006842105263157895,21
5-1,26,0.006842105263157895,22
0-4,25,0.006578947368421052,23
5-0,22,0.005789473684210527,24
4-3,16,0.004210526315789474,25
5-2,14,0.0036842105263157894,26
3-4,10,0.002631578947368421,27
0-5,8,0.002105263157894737,28
1-5,7,0.0018421052631578947,29
6-1,7,0.0018421052631578947,30
6-0,6,0.0015789473684210526,31
4-4,5,0.0013157894736842105,32
7-1,5,0.0013157894736842105,33
3-5,5,0.0013157894736842105,34
2-5,4,0.0010526315789473684,35
2-6,4,0.0010526315789473684,36
5-3,3,0.0007894736842105263,37
1-6,2,0.0005263157894736842,38
6-2,2,0.0005263157894736842,39
7-0,2,0.0005263157894736842,40
6-4,1,0.0002631578947368421,41
3-6,1,0.0002631578947368421,42
0-6,1,0.0002631578947368421,43
5-4,1,0.0002631578947368421,44
6-3,1,0.0002631578947368421,45
8-2,1,0.0002631578947368421,46
0-7,1,0.0002631578947368421,47
