comparison,feature,train_mean,comparison_mean,standardized_mean_difference,absolute_smd,train_coverage,comparison_coverage
test,market_overround,1.0485769906438214,1.0646126827209526,3.101361771057693,3.101361771057693,1.0,1.0
test,home_segunda_position,3.3333333333333335,2.3333333333333335,-0.48237638894271995,0.48237638894271995,0.02142857142857143,0.15
test,away_segunda_position,3.3333333333333335,2.3333333333333335,-0.48237638894271995,0.48237638894271995,0.02142857142857143,0.15
test,home_promoted,0.02142857142857143,0.15,0.47134405192840967,0.47134405192840967,1.0,1.0
test,away_promoted,0.02142857142857143,0.15,0.47134405192840967,0.47134405192840967,1.0,1.0
test,history_ready_10,0.9296992481203008,1.0,0.3888141782688787,0.3888141782688787,1.0,1.0
test,history_ready_5,0.9646616541353383,1.0,0.2706256451129105,0.2706256451129105,1.0,1.0
test,away_venue_shots_on_target_for_avg_5,3.6159064994298746,3.864736842105263,0.20407979414242378,0.20407979414242378,0.9890977443609023,1.0
test,home_form_shots_on_target_against_avg_5,4.150901412002018,4.384736842105263,0.19632033609472,0.19632033609472,0.9939849624060151,1.0
test,away_form_shots_on_target_for_avg_5,4.160508752046341,4.412105263157895,0.186882140597859,0.186882140597859,0.9951127819548872,1.0
test,home_venue_shots_on_target_for_avg_5,4.58786266311922,4.866315789473685,0.18261096101714128,0.18261096101714128,0.9890977443609023,1.0
test,away_form_shots_on_target_against_avg_5,4.049194056164211,4.25,0.17347451692650634,0.17347451692650634,0.9951127819548872,1.0
test,home_form_shots_on_target_for_avg_5,4.047982854261219,4.277894736842105,0.17345257855197294,0.17345257855197294,0.9939849624060151,1.0
test,home_venue_win_rate_5,0.4514379830229317,0.4926315789473685,0.15692445139596714,0.15692445139596714,0.9890977443609023,1.0
test,home_venue_ppg_5,1.618225009502091,1.7178947368421051,0.14605426090045504,0.14605426090045504,0.9890977443609023,1.0
test,home_form_draw_rate_5,0.2631807866868382,0.23894736842105266,-0.1223611840780835,0.1223611840780835,0.9939849624060151,1.0
test,venue_ppg_5_difference,0.4885392829900839,0.6042105263157896,0.12224970824192831,0.12224970824192831,0.9857142857142858,1.0
test,home_venue_goals_for_avg_5,1.4771253008995313,1.5584210526315792,0.11445418193877943,0.11445418193877943,0.9890977443609023,1.0
test,home_season_goals_against_avg_pre,1.2882942724640236,1.3381514024021377,0.11262551542359847,0.11262551542359847,0.9733082706766917,0.9736842105263158
test,away_form_goals_for_avg_10,1.3144293329975234,1.3710526315789473,0.10653495392892788,0.10653495392892788,0.9951127819548872,1.0
test,away_venue_goals_against_avg_5,1.4637273533510706,1.5236842105263158,0.09767290916106101,0.09767290916106101,0.9890977443609023,1.0
test,away_form_draw_rate_5,0.26290769424505733,0.24421052631578952,-0.0928786060531174,0.0928786060531174,0.9951127819548872,1.0
test,away_division_changed,0.00037593984962406017,0.005263157894736842,0.09215254063394192,0.09215254063394192,1.0,1.0
test,away_form_goals_for_avg_5,1.323221256768669,1.3778947368421053,0.08839847324542185,0.08839847324542185,0.9951127819548872,1.0
test,home_form_goals_for_avg_10,1.2994919614340947,1.3423684210526317,0.08223722689302775,0.08223722689302775,0.9939849624060151,1.0
test,away_season_win_rate_pre,0.36424291774318257,0.38174195851451753,0.0806205952537551,0.0806205952537551,0.9740601503759398,0.9736842105263158
test,home_form_goals_for_avg_5,1.2886724659606656,1.3363157894736843,0.07683912122434326,0.07683912122434326,0.9939849624060151,1.0
test,away_form_goals_against_avg_5,1.2827981362548797,1.3236842105263158,0.07485326449009251,0.07485326449009251,0.9951127819548872,1.0
test,away_season_goals_for_avg_pre,1.296509229136957,1.337828528503883,0.07383444226471347,0.07383444226471347,0.9740601503759398,0.9736842105263158
