feature_1,feature_2,spearman_correlation,absolute_correlation
elo_difference_pre,elo_expected_home,1.0,1.0
home_season_matches_pre,away_season_matches_pre,0.999153800954147,0.999153800954147
market_probability_home,market_probability_away,-0.994672649978694,0.994672649978694
away_season_ppg_pre,away_season_win_rate_pre,0.9709615401423877,0.9709615401423877
season_ppg_difference,season_win_rate_difference,0.9694454028685708,0.9694454028685708
home_venue_ppg_5,home_venue_win_rate_5,0.9685599296001769,0.9685599296001769
home_season_ppg_pre,home_season_win_rate_pre,0.9674064761501293,0.9674064761501293
away_form_ppg_5,away_form_win_rate_5,0.9601300106091082,0.9601300106091082
away_season_ppg_pre,away_league_position_pre,-0.9589247470829844,0.9589247470829844
home_season_ppg_pre,home_league_position_pre,-0.9583512653165112,0.9583512653165112
home_form_ppg_5,home_form_win_rate_5,0.9571789884869919,0.9571789884869919
season_ppg_difference,league_position_advantage,0.9534432548576128,0.9534432548576128
away_venue_ppg_5,away_venue_win_rate_5,0.9471896864208147,0.9471896864208147
season_win_rate_difference,league_position_advantage,0.9289459503177149,0.9289459503177149
season_ppg_difference,season_goal_difference_avg,0.9267172479519026,0.9267172479519026
away_season_ppg_pre,away_season_goal_difference_avg_pre,0.9255621995457215,0.9255621995457215
home_season_ppg_pre,home_season_goal_difference_avg_pre,0.9234220155002691,0.9234220155002691
away_season_win_rate_pre,away_league_position_pre,-0.922034119444668,0.922034119444668
away_form_ppg_10,away_form_goal_difference_avg_10,0.919901568477063,0.919901568477063
home_season_win_rate_pre,home_league_position_pre,-0.9189274582784182,0.9189274582784182
home_form_ppg_10,home_form_goal_difference_avg_10,0.9172114057842666,0.9172114057842666
away_season_goal_difference_avg_pre,away_league_position_pre,-0.9165048884464855,0.9165048884464855
home_season_goal_difference_avg_pre,home_league_position_pre,-0.9147209023750352,0.9147209023750352
away_form_ppg_5,away_form_goal_difference_avg_5,0.9026565829093368,0.9026565829093368
