split,bin,predictions,mean_predicted_probability,observed_rate,calibration_gap
all,0–10%,383,0.07249988404866818,0.07049608355091384,-0.0020038004977543378
all,10–20%,1564,0.15629458918555436,0.13618925831202047,-0.02010533087353389
all,20–30%,4155,0.2596163238044722,0.249338146811071,-0.010278176993401195
all,30–40%,2286,0.3389069048137157,0.34033245844269466,0.0014255536289789483
all,40–50%,1219,0.4472562187124227,0.4725184577522559,0.025262239039833212
all,50–60%,862,0.5486287093584427,0.5498839907192575,0.001255281360814875
all,60–70%,526,0.6478822116525514,0.714828897338403,0.0669466856858516
all,70–80%,274,0.7485328256356725,0.7627737226277372,0.014240896992064767
all,80–90%,124,0.8383376238994188,0.8467741935483871,0.008436569648968328
all,90–100%,7,0.9113737310073825,0.8571428571428571,-0.05423087386452541
train,0–10%,291,0.07029079720995145,0.07903780068728522,0.008747003477333773
train,10–20%,1103,0.15528694807117568,0.14505893019038985,-0.010228017880785839
train,20–30%,2932,0.26015853931889404,0.25102319236016374,-0.009135346958730306
train,30–40%,1533,0.33924442077852324,0.33724722765818654,-0.0019971931203366933
train,40–50%,848,0.44770216401145885,0.47287735849056606,0.02517519447910721
train,50–60%,593,0.5489602397708704,0.5430016863406408,-0.005958553430229552
train,60–70%,393,0.6482693882523048,0.7251908396946565,0.07692145144235163
train,70–80%,179,0.749268419210843,0.7039106145251397,-0.045357804685703274
train,80–90%,101,0.8412272272092276,0.8316831683168316,-0.009544058892395957
train,90–100%,7,0.9113737310073825,0.8571428571428571,-0.05423087386452541
validation,0–10%,59,0.07905954502841275,0.05084745762711865,-0.028212087401294106
validation,10–20%,330,0.1588888400245696,0.1,-0.058888840024569594
validation,20–30%,797,0.2570281201524279,0.24843161856963614,-0.008596501582791738
validation,30–40%,493,0.3372344971890173,0.3448275862068966,0.007593089017879251
validation,40–50%,238,0.4481009639422991,0.4789915966386555,0.03089063269635639
validation,50–60%,192,0.54926016415539,0.5677083333333334,0.01844816917794334
validation,60–70%,93,0.6486363335341836,0.6989247311827957,0.05028839764861215
validation,70–80%,61,0.7432038751753055,0.8688524590163934,0.1256485838410879
validation,80–90%,17,0.8252679070041358,0.8823529411764706,0.05708503417233479
validation,90–100%,0,,,
test,0–10%,33,0.08025213472326344,0.030303030303030304,-0.049949104420233134
test,10–20%,131,0.15824363782894865,0.15267175572519084,-0.005571882103757808
test,20–30%,426,0.26072670507769835,0.23943661971830985,-0.021290085359388505
test,30–40%,260,0.34008800090958613,0.35,0.009911999090413848
test,40–50%,133,0.4429012489508196,0.45864661654135336,0.015745367590533743
test,50–60%,77,0.5445009579872282,0.5584415584415584,0.01394060045433021
test,60–70%,40,0.6423248681851798,0.65,0.0076751318148202685
test,70–80%,34,0.754220905874698,0.8823529411764706,0.12813203530177253
test,80–90%,6,0.8267268327209387,1.0,0.17327316727906128
test,90–100%,0,,,
