team_id,team,segunda_season,laliga_season,has_segunda_statistics,segunda_position,segunda_played,segunda_wins,segunda_draws,segunda_losses,segunda_goals_for,segunda_goals_against,segunda_goal_difference,segunda_points,laliga_position,laliga_played,laliga_wins,laliga_draws,laliga_losses,laliga_goals_for,laliga_goals_against,laliga_goal_difference,laliga_points,promotion_type,relegated_after_first_season,identification_method,points_per_match,goal_difference_per_match,survived_first_season
getafe,Getafe CF,2016/17,2017/18,False,,,,,,,,,,8.0,38.0,15.0,10.0,13.0,42.0,33.0,9.0,55.0,,False,new_team_vs_previous_laliga_season,1.4473684210526316,0.23684210526315788,True
girona,Girona FC,2016/17,2017/18,False,,,,,,,,,,10.0,38.0,14.0,9.0,15.0,50.0,59.0,-9.0,51.0,,False,new_team_vs_previous_laliga_season,1.3421052631578947,-0.23684210526315788,True
levante,Levante UD,2016/17,2017/18,False,,,,,,,,,,15.0,38.0,11.0,13.0,14.0,44.0,58.0,-14.0,46.0,,False,new_team_vs_previous_laliga_season,1.2105263157894737,-0.3684210526315789,True
huesca,SD Huesca,2017/18,2018/19,False,,,,,,,,,,19.0,38.0,7.0,12.0,19.0,43.0,65.0,-22.0,33.0,,True,new_team_vs_previous_laliga_season,0.868421052631579,-0.5789473684210527,False
valladolid,Real Valladolid,2017/18,2018/19,False,,,,,,,,,,17.0,38.0,10.0,11.0,17.0,32.0,51.0,-19.0,41.0,,False,new_team_vs_previous_laliga_season,1.0789473684210527,-0.5,True
vallecano,Rayo Vallecano,2017/18,2018/19,False,,,,,,,,,,20.0,38.0,8.0,8.0,22.0,41.0,70.0,-29.0,32.0,,True,new_team_vs_previous_laliga_season,0.8421052631578947,-0.7631578947368421,False
granada,Granada CF,2018/19,2019/20,False,,,,,,,,,,7.0,38.0,16.0,8.0,14.0,52.0,45.0,7.0,56.0,,False,new_team_vs_previous_laliga_season,1.4736842105263157,0.18421052631578946,True
mallorca,RCD Mallorca,2018/19,2019/20,False,,,,,,,,,,19.0,38.0,9.0,6.0,23.0,40.0,65.0,-25.0,33.0,,True,new_team_vs_previous_laliga_season,0.868421052631579,-0.6578947368421053,False
osasuna,CA Osasuna,2018/19,2019/20,False,,,,,,,,,,10.0,38.0,13.0,13.0,12.0,46.0,54.0,-8.0,52.0,,False,new_team_vs_previous_laliga_season,1.368421052631579,-0.21052631578947367,True
cadiz,Cádiz CF,2019/20,2020/21,False,,,,,,,,,,12.0,38.0,11.0,11.0,16.0,36.0,58.0,-22.0,44.0,,False,new_team_vs_previous_laliga_season,1.1578947368421053,-0.5789473684210527,True
elche,Elche CF,2019/20,2020/21,False,,,,,,,,,,17.0,38.0,8.0,12.0,18.0,34.0,55.0,-21.0,36.0,,False,new_team_vs_previous_laliga_season,0.9473684210526315,-0.5526315789473685,True
huesca,SD Huesca,2019/20,2020/21,False,,,,,,,,,,18.0,38.0,7.0,13.0,18.0,34.0,53.0,-19.0,34.0,,True,new_team_vs_previous_laliga_season,0.8947368421052632,-0.5,False
espanyol,RCD Espanyol,2020/21,2021/22,False,,,,,,,,,,14.0,38.0,10.0,12.0,16.0,40.0,53.0,-13.0,42.0,,False,new_team_vs_previous_laliga_season,1.105263157894737,-0.34210526315789475,True
mallorca,RCD Mallorca,2020/21,2021/22,False,,,,,,,,,,17.0,38.0,10.0,9.0,19.0,36.0,63.0,-27.0,39.0,,False,new_team_vs_previous_laliga_season,1.0263157894736843,-0.7105263157894737,True
vallecano,Rayo Vallecano,2020/21,2021/22,False,,,,,,,,,,12.0,38.0,11.0,9.0,18.0,39.0,50.0,-11.0,42.0,,False,new_team_vs_previous_laliga_season,1.105263157894737,-0.2894736842105263,True
