split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
test,ensemble_market,H,1,0.0,0.1,7,0.0827359619119584,0.0,-0.0827359619119584
test,ensemble_market,H,2,0.1,0.2,26,0.14963119665863195,0.23076923076923078,0.08113803411059883
test,ensemble_market,H,3,0.2,0.30000000000000004,36,0.25879546947279963,0.2222222222222222,-0.03657324725057742
test,ensemble_market,H,4,0.30000000000000004,0.4,68,0.3529726462569271,0.39705882352941174,0.04408617727248465
test,ensemble_market,H,5,0.4,0.5,102,0.44619663688295275,0.49019607843137253,0.04399944154841978
test,ensemble_market,H,6,0.5,0.6000000000000001,58,0.5494612730433734,0.46551724137931033,-0.08394403166406311
test,ensemble_market,H,7,0.6000000000000001,0.7000000000000001,32,0.6401281581118203,0.75,0.10987184188817967
test,ensemble_market,H,8,0.7000000000000001,0.8,24,0.7493434721304122,0.7916666666666666,0.04232319453625444
test,ensemble_market,H,9,0.8,0.9,25,0.8408169873289921,0.92,0.07918301267100791
test,ensemble_market,H,10,0.9,1.0,2,0.9082878839261601,1.0,0.09171211607383989
test,ensemble_market,D,1,0.0,0.1,10,0.08617270066580704,0.0,-0.08617270066580704
test,ensemble_market,D,2,0.1,0.2,67,0.15070326632055372,0.11940298507462686,-0.03130028124592686
test,ensemble_market,D,3,0.2,0.30000000000000004,257,0.2612379685536483,0.2840466926070039,0.0228087240533556
test,ensemble_market,D,4,0.30000000000000004,0.4,46,0.3144658750201308,0.2608695652173913,-0.053596309802739495
test,ensemble_market,A,1,0.0,0.1,43,0.06159791458189882,0.046511627906976744,-0.015086286674922074
test,ensemble_market,A,2,0.1,0.2,77,0.15916038092330811,0.19480519480519481,0.0356448138818867
test,ensemble_market,A,3,0.2,0.30000000000000004,112,0.25312573741120675,0.23214285714285715,-0.020982880268349602
test,ensemble_market,A,4,0.30000000000000004,0.4,70,0.34594078246864707,0.2571428571428571,-0.08879792532578995
test,ensemble_market,A,5,0.4,0.5,34,0.44447668014357267,0.4411764705882353,-0.0033002095553373856
