split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
test,elo_multinomial,H,1,0.0,0.1,3,0.0834865350892573,0.6666666666666666,0.5831801315774093
test,elo_multinomial,H,2,0.1,0.2,39,0.1480715792867975,0.23076923076923078,0.08269765148243327
test,elo_multinomial,H,3,0.2,0.30000000000000004,42,0.26259172489740895,0.2857142857142857,0.023122560816876747
test,elo_multinomial,H,4,0.30000000000000004,0.4,67,0.36545902441227396,0.40298507462686567,0.03752605021459171
test,elo_multinomial,H,5,0.4,0.5,91,0.45217441564192873,0.4835164835164835,0.03134206787455479
test,elo_multinomial,H,6,0.5,0.6000000000000001,61,0.5438181768172627,0.5081967213114754,-0.035621455505787325
test,elo_multinomial,H,7,0.6000000000000001,0.7000000000000001,37,0.6489269824317294,0.6756756756756757,0.026748693243946242
test,elo_multinomial,H,8,0.7000000000000001,0.8,30,0.7548345261555404,0.9,0.14516547384445966
test,elo_multinomial,H,9,0.8,0.9,10,0.8274284782817194,0.9,0.07257152171828063
test,elo_multinomial,D,2,0.1,0.2,40,0.1663035044025753,0.025,-0.1413035044025753
test,elo_multinomial,D,3,0.2,0.30000000000000004,340,0.27330329562539496,0.27058823529411763,-0.0027150603312773303
test,elo_multinomial,A,1,0.0,0.1,43,0.06316498116690204,0.06976744186046512,0.0066024606935630725
test,elo_multinomial,A,2,0.1,0.2,68,0.15183384787431517,0.16176470588235295,0.00993085800803778
test,elo_multinomial,A,3,0.2,0.30000000000000004,113,0.24960383262941707,0.26548672566371684,0.015882893034299767
test,elo_multinomial,A,4,0.30000000000000004,0.4,71,0.33666406542146,0.2676056338028169,-0.06905843161864311
test,elo_multinomial,A,5,0.4,0.5,40,0.44126161770663996,0.375,-0.06626161770663996
test,elo_multinomial,A,6,0.5,0.6000000000000001,26,0.5557050564282685,0.5,-0.05570505642826851
test,elo_multinomial,A,7,0.6000000000000001,0.7000000000000001,18,0.6470929290972454,0.5555555555555556,-0.09153737354168978
test,elo_multinomial,A,8,0.7000000000000001,0.8,1,0.7388350289413685,0.0,-0.7388350289413685
test,historical_frequency,H,5,0.4,0.5,380,0.45116959064327483,0.48947368421052634,0.03830409356725151
test,historical_frequency,D,3,0.2,0.30000000000000004,380,0.26403508771929823,0.24473684210526317,-0.019298245614035064
test,historical_frequency,A,3,0.2,0.30000000000000004,380,0.2847953216374269,0.2657894736842105,-0.01900584795321636
test,logistic_market,H,1,0.0,0.1,5,0.06056793686022825,0.2,0.13943206313977174
test,logistic_market,H,2,0.1,0.2,29,0.14578122642737254,0.1724137931034483,0.026632566676075747
test,logistic_market,H,3,0.2,0.30000000000000004,40,0.25073705670197255,0.275,0.024262943298027473
test,logistic_market,H,4,0.30000000000000004,0.4,79,0.3512030699652027,0.3670886075949367,0.015885537629734048
test,logistic_market,H,5,0.4,0.5,88,0.4483318927945705,0.5113636363636364,0.06303174356906588
test,logistic_market,H,6,0.5,0.6000000000000001,58,0.5425655715311176,0.46551724137931033,-0.07704833015180729
test,logistic_market,H,7,0.6000000000000001,0.7000000000000001,38,0.6496308995647011,0.7894736842105263,0.13984278464582522
test,logistic_market,H,8,0.7000000000000001,0.8,26,0.7617294490384613,0.8846153846153846,0.12288593557692329
test,logistic_market,H,9,0.8,0.9,16,0.8332594436729241,0.875,0.04174055632707585
test,logistic_market,H,10,0.9,1.0,1,0.9535536016468863,1.0,0.046446398353113705
test,logistic_market,D,1,0.0,0.1,7,0.08297728410131835,0.0,-0.08297728410131835
test,logistic_market,D,2,0.1,0.2,74,0.1638362166866329,0.13513513513513514,-0.028701081551497754
test,logistic_market,D,3,0.2,0.30000000000000004,189,0.254052632498383,0.26455026455026454,0.010497632051881534
test,logistic_market,D,4,0.30000000000000004,0.4,96,0.34071568257985074,0.3125,-0.028215682579850743
test,logistic_market,D,5,0.4,0.5,14,0.43841163178253767,0.21428571428571427,-0.2241259174968234
test,logistic_market,A,1,0.0,0.1,46,0.06179441421115949,0.043478260869565216,-0.018316153341594275
test,logistic_market,A,2,0.1,0.2,83,0.14948316040591414,0.13253012048192772,-0.016953039923986418
