split,model,actual,predicted,matches
test,elo_multinomial,H,H,157
test,elo_multinomial,H,D,0
test,elo_multinomial,H,A,29
test,elo_multinomial,D,H,62
test,elo_multinomial,D,D,0
test,elo_multinomial,D,A,31
test,elo_multinomial,A,H,58
test,elo_multinomial,A,D,0
test,elo_multinomial,A,A,43
test,historical_frequency,H,H,186
test,historical_frequency,H,D,0
test,historical_frequency,H,A,0
test,historical_frequency,D,H,93
test,historical_frequency,D,D,0
test,historical_frequency,D,A,0
test,historical_frequency,A,H,101
test,historical_frequency,A,D,0
test,historical_frequency,A,A,0
test,logistic_market,H,H,149
test,logistic_market,H,D,10
test,logistic_market,H,A,27
test,logistic_market,D,H,57
test,logistic_market,D,D,9
test,logistic_market,D,A,27
test,logistic_market,A,H,45
test,logistic_market,A,D,8
test,logistic_market,A,A,48
test,logistic_sports,H,H,149
test,logistic_sports,H,D,9
test,logistic_sports,H,A,28
test,logistic_sports,D,H,59
test,logistic_sports,D,D,5
test,logistic_sports,D,A,29
test,logistic_sports,A,H,47
test,logistic_sports,A,D,6
test,logistic_sports,A,A,48
test,market,H,H,160
test,market,H,D,0
test,market,H,A,26
test,market,D,H,62
test,market,D,D,0
test,market,D,A,31
test,market,A,H,54
test,market,A,D,0
test,market,A,A,47
validation,elo_multinomial,H,H,289
validation,elo_multinomial,H,D,0
validation,elo_multinomial,H,A,47
validation,elo_multinomial,D,H,140
validation,elo_multinomial,D,D,0
validation,elo_multinomial,D,A,64
validation,elo_multinomial,A,H,97
validation,elo_multinomial,A,D,0
validation,elo_multinomial,A,A,123
validation,historical_frequency,H,H,336
validation,historical_frequency,H,D,0
validation,historical_frequency,H,A,0
validation,historical_frequency,D,H,204
validation,historical_frequency,D,D,0
validation,historical_frequency,D,A,0
validation,historical_frequency,A,H,220
validation,historical_frequency,A,D,0
validation,historical_frequency,A,A,0
validation,logistic_market,H,H,284
validation,logistic_market,H,D,20
validation,logistic_market,H,A,32
validation,logistic_market,D,H,134
validation,logistic_market,D,D,14
validation,logistic_market,D,A,56
validation,logistic_market,A,H,98
validation,logistic_market,A,D,15
validation,logistic_market,A,A,107
validation,logistic_sports,H,H,285
validation,logistic_sports,H,D,13
validation,logistic_sports,H,A,38
validation,logistic_sports,D,H,140
validation,logistic_sports,D,D,7
validation,logistic_sports,D,A,57
validation,logistic_sports,A,H,99
validation,logistic_sports,A,D,9
validation,logistic_sports,A,A,112
validation,market,H,H,294
validation,market,H,D,2
validation,market,H,A,40
validation,market,D,H,137
validation,market,D,D,1
validation,market,D,A,66
validation,market,A,H,95
validation,market,A,D,0
validation,market,A,A,125
