split,model,rows,log_loss,brier_score,accuracy,macro_f1,ece_10_bins
test,market,380,0.964103415733941,0.5714649828539332,0.5447368421052632,0.38372575933551545,0.020083883095718343
test,logistic_market,380,0.9654980136041896,0.5724083528664181,0.5421052631578948,0.43494286691240847,0.029599198252712518
test,logistic_sports,380,0.9758671364855257,0.5764600336342933,0.531578947368421,0.4100839847160714,0.03502418369534765
test,elo_multinomial,380,0.9864559336649662,0.582584587715386,0.5263157894736842,0.36658479086378976,0.014771487773684148
test,historical_frequency,380,1.0493149467007994,0.6320761943845968,0.48947368421052634,0.21908127208480566,0.025536062378167634
validation,market,760,0.9512047413914982,0.564050852339856,0.5526315789473685,0.415373377189962,0.024516879058131005
validation,elo_multinomial,760,0.9675468866348572,0.5754402763770435,0.5421052631578948,0.40412795431857756,0.014072831661199593
validation,logistic_market,760,0.9778850357544577,0.5794583253138718,0.5328947368421053,0.4310004180093232,0.0376182065912951
validation,logistic_sports,760,0.9940525942797666,0.588411992591518,0.531578947368421,0.415822232839572,0.026338456853055497
validation,historical_frequency,760,1.0730481867081105,0.6489172561337555,0.4421052631578947,0.20437956204379562,0.007174185463659111
