split,model,rows,log_loss,brier_score,accuracy,macro_f1,ece_10_bins
test,random_forest_market,380,0.9634610354601497,0.5707690641523501,0.5394736842105263,0.38675385395682427,0.017610571894768733
test,market,380,0.964103415733941,0.5714649828539332,0.5447368421052632,0.3837257593355154,0.0200838830957183
test,logistic_market,380,0.9654980136041896,0.5724083528664181,0.5421052631578948,0.4349428669124084,0.0295991982527125
test,random_forest_sports,380,0.9710953153949028,0.5752839535693774,0.531578947368421,0.3796728966732257,0.017543521677782666
test,logistic_sports,380,0.9758671364855256,0.5764600336342933,0.531578947368421,0.4100839847160714,0.0350241836953476
test,hist_boost_market,380,0.9801202295441229,0.5827338967112806,0.5394736842105263,0.4595021974866936,0.03386622813731172
test,hist_boost_sports,380,0.9829200593983022,0.5848258647403713,0.5263157894736842,0.44463783226269354,0.023068532578237894
test,poisson,380,0.9844354216295422,0.5842010878462147,0.5078947368421053,0.3521800458074968,0.0312726931634697
validation,market,760,0.9512047413914982,0.564050852339856,0.5526315789473685,0.415373377189962,0.024516879058131
validation,random_forest_market,760,0.9557971736219291,0.5673701751893703,0.5473684210526316,0.4098162414761692,0.02972375545878725
validation,hist_boost_market,760,0.9690398033962776,0.5762796278102517,0.55,0.4672163354444872,0.016513707016164197
validation,random_forest_sports,760,0.9702840066250279,0.5771606685628153,0.5447368421052632,0.4092528908562756,0.015475734703325923
validation,logistic_market,760,0.9778850357544576,0.5794583253138718,0.5328947368421053,0.4310004180093232,0.0376182065912951
validation,poisson,760,0.9779512099459076,0.5817759436722096,0.525,0.3894482583269769,0.0240666758581024
validation,hist_boost_sports,760,0.9846605446213319,0.5866711003922568,0.531578947368421,0.4374388603782844,0.018251198125800793
validation,logistic_sports,760,0.9940525942797666,0.588411992591518,0.531578947368421,0.415822232839572,0.0263384568530554
