check,passed
six_components_calibrated,True
temperature_bounds_respected,True
two_ensembles_selected,True
ensemble_weights_sum_to_one,True
ensemble_weights_non_negative,True
candidate_grid_complete,True
validation_rows_per_ensemble,True
test_rows_per_ensemble,True
probabilities_sum_to_one,True
probabilities_are_finite,True
probabilities_within_bounds,True
test_season_is_2025_26,True
validation_seasons_locked,True
fixture_predictions_complete,True
fixture_probabilities_valid,True
fixture_model_is_sports_only,True
fixtures_require_updates,True
bootstrap_complete,True
