check,passed,detail
fixtures_complete_380,True,OK
matchdays_complete_38,True,OK
twenty_teams_each_play_38,True,OK
ensemble_sports_only,True,OK
fixture_probabilities_sum_to_one,True,OK
fixture_probabilities_in_range,True,OK
positive_expected_goals,True,OK
simulations_complete,True,OK
valid_unique_ranks_each_season,True,OK
points_in_valid_range,True,OK
league_point_totals_valid,True,OK
simulated_outcomes_match_inputs,True,OK
position_probabilities_sum_by_team,True,OK
one_team_per_position_in_expectation,True,OK
champion_probabilities_sum_to_one,True,OK
top4_probabilities_sum_to_four,True,OK
top7_probabilities_sum_to_seven,True,OK
relegation_probabilities_sum_to_three,True,OK
zone_probabilities_are_monotonic,True,OK
checkpoint_25000_is_stable,True,OK
promoted_teams_present,True,OK
no_missing_summary_values,True,OK
