team_id,team,position,count,probability
athletic_bilbao,Athletic Club,1,100,0.002
athletic_bilbao,Athletic Club,2,442,0.00884
athletic_bilbao,Athletic Club,3,1320,0.0264
athletic_bilbao,Athletic Club,4,2274,0.04548
athletic_bilbao,Athletic Club,5,3060,0.0612
athletic_bilbao,Athletic Club,6,3652,0.07304
athletic_bilbao,Athletic Club,7,3820,0.0764
athletic_bilbao,Athletic Club,8,3663,0.07326
athletic_bilbao,Athletic Club,9,3781,0.07562
athletic_bilbao,Athletic Club,10,3716,0.07432
athletic_bilbao,Athletic Club,11,3487,0.06974
athletic_bilbao,Athletic Club,12,3288,0.06576
athletic_bilbao,Athletic Club,13,3117,0.06234
athletic_bilbao,Athletic Club,14,2818,0.05636
athletic_bilbao,Athletic Club,15,2593,0.05186
athletic_bilbao,Athletic Club,16,2368,0.04736
athletic_bilbao,Athletic Club,17,2198,0.04396
athletic_bilbao,Athletic Club,18,1852,0.03704
athletic_bilbao,Athletic Club,19,1472,0.02944
athletic_bilbao,Athletic Club,20,979,0.01958
atletico_madrid,Atlético de Madrid,1,2108,0.04216
atletico_madrid,Atlético de Madrid,2,5495,0.1099
atletico_madrid,Atlético de Madrid,3,9479,0.18958
atletico_madrid,Atlético de Madrid,4,8913,0.17826
atletico_madrid,Atlético de Madrid,5,6702,0.13404
atletico_madrid,Atlético de Madrid,6,4634,0.09268
atletico_madrid,Atlético de Madrid,7,3252,0.06504
atletico_madrid,Atlético de Madrid,8,2515,0.0503
atletico_madrid,Atlético de Madrid,9,1787,0.03574
atletico_madrid,Atlético de Madrid,10,1383,0.02766
atletico_madrid,Atlético de Madrid,11,1022,0.02044
atletico_madrid,Atlético de Madrid,12,760,0.0152
atletico_madrid,Atlético de Madrid,13,546,0.01092
atletico_madrid,Atlético de Madrid,14,449,0.00898
atletico_madrid,Atlético de Madrid,15,354,0.00708
atletico_madrid,Atlético de Madrid,16,248,0.00496
atletico_madrid,Atlético de Madrid,17,155,0.0031
atletico_madrid,Atlético de Madrid,18,106,0.00212
atletico_madrid,Atlético de Madrid,19,73,0.00146
atletico_madrid,Atlético de Madrid,20,19,0.00038
osasuna,CA Osasuna,1,30,0.0006
osasuna,CA Osasuna,2,165,0.0033
osasuna,CA Osasuna,3,620,0.0124
osasuna,CA Osasuna,4,1162,0.02324
osasuna,CA Osasuna,5,1808,0.03616
osasuna,CA Osasuna,6,2375,0.0475
osasuna,CA Osasuna,7,2702,0.05404
osasuna,CA Osasuna,8,2989,0.05978
osasuna,CA Osasuna,9,3197,0.06394
osasuna,CA Osasuna,10,3278,0.06556
osasuna,CA Osasuna,11,3347,0.06694
osasuna,CA Osasuna,12,3519,0.07038
osasuna,CA Osasuna,13,3350,0.067
osasuna,CA Osasuna,14,3484,0.06968
osasuna,CA Osasuna,15,3428,0.06856
osasuna,CA Osasuna,16,3368,0.06736
osasuna,CA Osasuna,17,3158,0.06316
osasuna,CA Osasuna,18,3032,0.06064
osasuna,CA Osasuna,19,2697,0.05394
osasuna,CA Osasuna,20,2291,0.04582
alaves,Deportivo Alavés,1,17,0.00034
alaves,Deportivo Alavés,2,125,0.0025
alaves,Deportivo Alavés,3,509,0.01018
alaves,Deportivo Alavés,4,980,0.0196
alaves,Deportivo Alavés,5,1505,0.0301
alaves,Deportivo Alavés,6,1991,0.03982
alaves,Deportivo Alavés,7,2364,0.04728
alaves,Deportivo Alavés,8,2685,0.0537
alaves,Deportivo Alavés,9,2939,0.05878
alaves,Deportivo Alavés,10,3076,0.06152
alaves,Deportivo Alavés,11,3231,0.06462
alaves,Deportivo Alavés,12,3415,0.0683
alaves,Deportivo Alavés,13,3502,0.07004
alaves,Deportivo Alavés,14,3545,0.0709
alaves,Deportivo Alavés,15,3475,0.0695
alaves,Deportivo Alavés,16,3552,0.07104
alaves,Deportivo Alavés,17,3572,0.07144
alaves,Deportivo Alavés,18,3436,0.06872
alaves,Deportivo Alavés,19,3284,0.06568
alaves,Deportivo Alavés,20,2797,0.05594
elche,Elche CF,1,26,0.00052
elche,Elche CF,2,133,0.00266
elche,Elche CF,3,399,0.00798
elche,Elche CF,4,834,0.01668
elche,Elche CF,5,1420,0.0284
elche,Elche CF,6,1836,0.03672
elche,Elche CF,7,2335,0.0467
elche,Elche CF,8,2621,0.05242
elche,Elche CF,9,2856,0.05712
elche,Elche CF,10,3003,0.06006
elche,Elche CF,11,3131,0.06262
elche,Elche CF,12,3232,0.06464
elche,Elche CF,13,3423,0.06846
elche,Elche CF,14,3555,0.0711
elche,Elche CF,15,3687,0.07374
elche,Elche CF,16,3677,0.07354
elche,Elche CF,17,3736,0.07472
elche,Elche CF,18,3609,0.07218
elche,Elche CF,19,3416,0.06832
elche,Elche CF,20,3071,0.06142
barcelona,FC Barcelona,1,26874,0.53748
barcelona,FC Barcelona,2,13741,0.27482
barcelona,FC Barcelona,3,5412,0.10824
barcelona,FC Barcelona,4,2130,0.0426
barcelona,FC Barcelona,5,948,0.01896
barcelona,FC Barcelona,6,415,0.0083
barcelona,FC Barcelona,7,219,0.00438
barcelona,FC Barcelona,8,96,0.00192
barcelona,FC Barcelona,9,79,0.00158
barcelona,FC Barcelona,10,41,0.00082
barcelona,FC Barcelona,11,19,0.00038
barcelona,FC Barcelona,12,10,0.0002
barcelona,FC Barcelona,13,10,0.0002
barcelona,FC Barcelona,14,3,6e-05
barcelona,FC Barcelona,15,2,4e-05
barcelona,FC Barcelona,16,0,0.0
barcelona,FC Barcelona,17,1,2e-05
barcelona,FC Barcelona,18,0,0.0
barcelona,FC Barcelona,19,0,0.0
barcelona,FC Barcelona,20,0,0.0
getafe,Getafe CF,1,29,0.00058
getafe,Getafe CF,2,162,0.00324
getafe,Getafe CF,3,483,0.00966
getafe,Getafe CF,4,1017,0.02034
getafe,Getafe CF,5,1676,0.03352
getafe,Getafe CF,6,2071,0.04142
getafe,Getafe CF,7,2527,0.05054
getafe,Getafe CF,8,2794,0.05588
getafe,Getafe CF,9,3017,0.06034
getafe,Getafe CF,10,3252,0.06504
getafe,Getafe CF,11,3313,0.06626
getafe,Getafe CF,12,3430,0.0686
getafe,Getafe CF,13,3451,0.06902
getafe,Getafe CF,14,3581,0.07162
getafe,Getafe CF,15,3460,0.0692
getafe,Getafe CF,16,3574,0.07148
getafe,Getafe CF,17,3440,0.0688
getafe,Getafe CF,18,3304,0.06608
getafe,Getafe CF,19,3041,0.06082
getafe,Getafe CF,20,2378,0.04756
levante,Levante UD,1,38,0.00076
levante,Levante UD,2,184,0.00368
levante,Levante UD,3,684,0.01368
levante,Levante UD,4,1281,0.02562
levante,Levante UD,5,1910,0.0382
levante,Levante UD,6,2553,0.05106
levante,Levante UD,7,2834,0.05668
levante,Levante UD,8,2983,0.05966
levante,Levante UD,9,3200,0.064
levante,Levante UD,10,3247,0.06494
levante,Levante UD,11,3531,0.07062
levante,Levante UD,12,3433,0.06866
levante,Levante UD,13,3426,0.06852
levante,Levante UD,14,3387,0.06774
levante,Levante UD,15,3422,0.06844
levante,Levante UD,16,3297,0.06594
levante,Levante UD,17,3124,0.06248
levante,Levante UD,18,2817,0.05634
levante,Levante UD,19,2582,0.05164
levante,Levante UD,20,2067,0.04134
malaga,Málaga CF,1,3,6e-05
malaga,Málaga CF,2,27,0.00054
malaga,Málaga CF,3,147,0.00294
malaga,Málaga CF,4,351,0.00702
malaga,Málaga CF,5,619,0.01238
malaga,Málaga CF,6,930,0.0186
malaga,Málaga CF,7,1169,0.02338
malaga,Málaga CF,8,1573,0.03146
malaga,Málaga CF,9,1736,0.03472
malaga,Málaga CF,10,2032,0.04064
