team_id,team,played,wins,draws,losses,goals_for,goals_against,points,goal_difference,position,ppg
atletico_madrid,Atlético de Madrid,1,1,0,0,2,0,3,2,1,3.0
real_madrid,Real Madrid,1,1,0,0,2,0,3,2,2,3.0
barcelona,FC Barcelona,1,1,0,0,2,1,3,1,3,3.0
levante,Levante UD,1,1,0,0,2,1,3,1,4,3.0
alaves,Deportivo Alavés,1,1,0,0,1,0,3,1,5,3.0
sevilla,Sevilla FC,1,1,0,0,1,0,3,1,6,3.0
osasuna,CA Osasuna,1,0,1,0,1,1,1,0,7,1.0
celta,RC Celta,1,0,1,0,1,1,1,0,8,1.0
racing_santander,Racing de Santander,1,0,1,0,1,1,1,0,9,1.0
betis,Real Betis,1,0,1,0,1,1,1,0,10,1.0
valencia,Valencia CF,1,0,1,0,1,1,1,0,11,1.0
villarreal,Villarreal CF,1,0,1,0,1,1,1,0,12,1.0
elche,Elche CF,1,0,1,0,0,0,1,0,13,1.0
deportivo,RC Deportivo,1,0,1,0,0,0,1,0,14,1.0
athletic_bilbao,Athletic Club,1,0,0,1,1,2,0,-1,15,0.0
espanyol,RCD Espanyol,1,0,0,1,1,2,0,-1,16,0.0
getafe,Getafe CF,1,0,0,1,0,1,0,-1,17,0.0
vallecano,Rayo Vallecano,1,0,0,1,0,1,0,-1,18,0.0
malaga,Málaga CF,1,0,0,1,0,2,0,-2,19,0.0
real_sociedad,Real Sociedad,1,0,0,1,0,2,0,-2,20,0.0
