team_id,team,simulations,expected_points,median_points,points_p05,points_p95,expected_goals_for,expected_goals_against,expected_goal_difference,expected_position,median_position,champion_probability,top4_probability,top6_probability,europe_top7_probability,relegation_probability,last_place_probability
barcelona,FC Barcelona,300,81.85,83.0,70.0,92.05000000000001,90.04333333333334,39.15,50.89333333333333,1.5533333333333332,1.0,0.5733333333333334,0.9966666666666667,1.0,1.0,0.0,0.0
real_madrid,Real Madrid,300,79.55666666666667,80.0,68.0,91.0,78.45333333333333,34.79666666666667,43.656666666666666,1.84,2.0,0.37333333333333335,0.99,0.9966666666666667,0.9966666666666667,0.0,0.0
atletico_madrid,Atlético de Madrid,300,67.92333333333333,68.0,55.0,79.0,64.72666666666667,40.28333333333333,24.44333333333333,3.6066666666666665,3.0,0.04666666666666667,0.7933333333333333,0.94,0.9566666666666667,0.0,0.0
villarreal,Villarreal CF,300,60.596666666666664,61.0,48.0,74.05000000000001,67.02666666666667,51.07,15.956666666666667,5.753333333333333,5.0,0.0033333333333333335,0.41,0.7,0.79,0.0033333333333333335,0.0
betis,Real Betis,300,56.61,56.5,43.0,70.0,55.82666666666667,47.68333333333333,8.143333333333333,7.196666666666666,6.0,0.0,0.2866666666666667,0.5433333333333333,0.65,0.013333333333333334,0.0
levante,Levante UD,300,54.33,54.0,43.0,67.0,54.84,55.81666666666667,-0.9766666666666667,8.203333333333333,7.5,0.0,0.16333333333333333,0.43666666666666665,0.5,0.016666666666666666,0.0033333333333333335
celta,RC Celta,300,50.51,50.0,39.0,64.0,51.88666666666666,53.626666666666665,-1.74,10.126666666666667,10.0,0.0,0.08,0.24666666666666667,0.32,0.056666666666666664,0.016666666666666666
valencia,Valencia CF,300,49.63333333333333,50.0,37.0,62.0,47.14,50.803333333333335,-3.6633333333333336,10.556666666666667,10.0,0.0033333333333333335,0.05333333333333334,0.19,0.2733333333333333,0.06333333333333334,0.02
alaves,Deportivo Alavés,300,49.593333333333334,49.0,39.0,62.0,44.52,50.23,-5.71,10.776666666666667,11.0,0.0,0.043333333333333335,0.17333333333333334,0.24666666666666667,0.043333333333333335,0.01
sevilla,Sevilla FC,300,48.55,49.0,35.0,61.0,46.346666666666664,53.443333333333335,-7.096666666666667,11.273333333333333,11.0,0.0,0.03666666666666667,0.15333333333333332,0.23,0.10333333333333333,0.03333333333333333
athletic_bilbao,Athletic Club,300,47.88666666666666,48.0,36.0,60.0,46.123333333333335,49.26,-3.1366666666666667,11.643333333333333,12.0,0.0,0.03666666666666667,0.14333333333333334,0.20666666666666667,0.11,0.02
vallecano,Rayo Vallecano,300,46.97,47.0,34.95,60.05000000000001,39.38666666666666,45.556666666666665,-6.17,12.223333333333333,12.0,0.0,0.03333333333333333,0.08,0.14666666666666667,0.14666666666666667,0.03
osasuna,CA Osasuna,300,46.83,47.0,36.0,59.0,44.67,51.513333333333335,-6.843333333333334,12.353333333333333,12.0,0.0,0.02666666666666667,0.09,0.15666666666666668,0.15,0.04666666666666667
real_sociedad,Real Sociedad,300,45.303333333333335,45.0,33.95,57.05000000000001,48.05,55.836666666666666,-7.786666666666667,13.01,13.0,0.0,0.013333333333333334,0.08333333333333333,0.13333333333333333,0.16666666666666666,0.04
getafe,Getafe CF,300,44.85333333333333,45.0,33.0,57.05000000000001,33.61333333333334,41.803333333333335,-8.19,13.406666666666666,14.0,0.0,0.02,0.06333333333333334,0.11,0.21333333333333335,0.06
elche,Elche CF,300,44.333333333333336,44.0,32.0,58.0,44.88,56.79666666666667,-11.916666666666666,13.596666666666666,14.0,0.0,0.013333333333333334,0.07666666666666666,0.11333333333333333,0.23,0.07666666666666666
racing_santander,Racing de Santander,300,42.54,42.0,31.0,56.0,48.44,68.31,-19.87,14.74,16.0,0.0,0.0,0.023333333333333334,0.07666666666666666,0.3333333333333333,0.12
espanyol,RCD Espanyol,300,41.62,41.0,29.0,53.05000000000001,42.416666666666664,56.52333333333333,-14.106666666666667,15.193333333333333,16.0,0.0,0.0033333333333333335,0.03,0.05,0.3566666666666667,0.12
malaga,Málaga CF,300,38.98,39.0,27.0,50.0,42.29333333333334,64.31666666666666,-22.023333333333333,16.47,17.0,0.0,0.0,0.01,0.016666666666666666,0.49333333333333335,0.20666666666666667
deportivo,RC Deportivo,300,39.25,39.0,28.0,52.0,40.60333333333333,64.46666666666667,-23.863333333333333,16.476666666666667,17.5,0.0,0.0,0.02,0.02666666666666667,0.5,0.19666666666666666
