team_id,team,played,wins,draws,losses,goals_for,goals_against,points,goal_difference,position,ppg
athletic_bilbao,Athletic Club,0,0,0,0,0,0,0,0,,
atletico_madrid,Atlético de Madrid,0,0,0,0,0,0,0,0,,
osasuna,CA Osasuna,0,0,0,0,0,0,0,0,,
alaves,Deportivo Alavés,0,0,0,0,0,0,0,0,,
elche,Elche CF,0,0,0,0,0,0,0,0,,
barcelona,FC Barcelona,0,0,0,0,0,0,0,0,,
getafe,Getafe CF,0,0,0,0,0,0,0,0,,
levante,Levante UD,0,0,0,0,0,0,0,0,,
malaga,Málaga CF,0,0,0,0,0,0,0,0,,
celta,RC Celta,0,0,0,0,0,0,0,0,,
deportivo,RC Deportivo,0,0,0,0,0,0,0,0,,
espanyol,RCD Espanyol,0,0,0,0,0,0,0,0,,
racing_santander,Racing de Santander,0,0,0,0,0,0,0,0,,
vallecano,Rayo Vallecano,0,0,0,0,0,0,0,0,,
betis,Real Betis,0,0,0,0,0,0,0,0,,
real_madrid,Real Madrid,0,0,0,0,0,0,0,0,,
real_sociedad,Real Sociedad,0,0,0,0,0,0,0,0,,
sevilla,Sevilla FC,0,0,0,0,0,0,0,0,,
valencia,Valencia CF,0,0,0,0,0,0,0,0,,
villarreal,Villarreal CF,0,0,0,0,0,0,0,0,,
