team_id,team,snapshot_date,promoted,segunda_position,division_changed,history_matches,season_matches_pre,days_since_last_match,form_matches_5,form_ppg_5,form_win_rate_5,form_draw_rate_5,form_goals_for_avg_5,form_goals_against_avg_5,form_goal_difference_avg_5,form_shots_on_target_for_avg_5,form_shots_on_target_against_avg_5,form_matches_10,form_ppg_10,form_goals_for_avg_10,form_goals_against_avg_10,form_goal_difference_avg_10,home_venue_ppg_5,home_venue_win_rate_5,home_venue_goals_for_avg_5,home_venue_goals_against_avg_5,home_venue_shots_on_target_for_avg_5,away_venue_ppg_5,away_venue_win_rate_5,away_venue_goals_for_avg_5,away_venue_goals_against_avg_5,away_venue_shots_on_target_for_avg_5,season_ppg_pre,season_win_rate_pre,season_goals_for_avg_pre,season_goals_against_avg_pre,season_goal_difference_avg_pre,league_position_pre,elo_pre,current_points,current_goal_difference
alaves,Deportivo Alavés,2026-08-16,0,,0,384,0,85,5,1.4,0.4,0.2,1.2,1.4,-0.19999999999999996,4.6,3.2,10,1.5,1.8,1.8,0.0,1.4,0.4,1.6,1.8,5.6,1.6,0.4,2.0,1.8,3.6,,,,,,,1481.1596411976118,0,0
athletic_bilbao,Athletic Club,2026-08-16,0,,0,380,0,85,5,0.8,0.2,0.2,1.4,2.0,-0.6000000000000001,4.6,4.4,10,1.0,1.3,1.8,-0.5,1.4,0.4,1.0,1.0,5.4,0.6,0.2,1.6,2.6,2.8,,,,,,,1495.7935124307858,0,0
atletico_madrid,Atlético de Madrid,2026-08-16,0,,0,380,0,84,5,1.8,0.6,0.0,1.2,1.4,-0.19999999999999996,4.2,5.0,10,1.2,1.5,1.9,-0.3999999999999999,1.8,0.6,1.2,1.0,3.8,1.2,0.4,1.6,2.2,3.6,,,,,,,1572.1842025747462,0,0
barcelona,FC Barcelona,2026-08-16,0,,0,380,0,85,5,1.8,0.6,0.0,1.6,1.2,0.40000000000000013,4.8,3.2,10,2.4,1.8,0.8,1.0,3.0,1.0,2.2,0.4,6.6,1.8,0.6,1.4,1.2,4.0,,,,,,,1670.0690083357954,0,0
betis,Real Betis,2026-08-16,0,,0,380,0,85,5,2.0,0.6,0.2,2.0,1.4,0.6000000000000001,5.6,5.8,10,1.6,1.6,1.3,0.30000000000000004,2.2,0.6,1.6,0.6,6.0,1.0,0.2,1.6,2.0,3.4,,,,,,,1555.2880787227114,0,0
celta,RC Celta,2026-08-16,0,,0,380,0,85,5,2.0,0.6,0.2,1.6,1.0,0.6000000000000001,3.2,5.0,10,1.3,1.5,1.7,-0.19999999999999996,1.2,0.4,1.8,2.2,4.8,1.4,0.4,1.2,1.2,2.8,,,,,,,1520.6666347724267,0,0
deportivo,RC Deportivo,2026-08-16,1,2.0,1,160,0,77,5,2.4,0.8,0.0,1.6,0.8,0.8,5.4,3.0,10,2.1,1.6,0.8,0.8,2.0,0.6,1.8,1.2,5.2,1.8,0.4,1.2,0.6,4.0,,,,,,,1455.1579643226437,0,0
elche,Elche CF,2026-08-16,0,,0,236,0,85,5,1.0,0.2,0.4,1.0,1.4,-0.3999999999999999,3.0,4.4,10,1.7,1.3,1.2,0.10000000000000009,2.6,0.8,1.6,0.8,4.0,0.8,0.2,1.0,1.6,3.0,,,,,,,1475.3898946051086,0,0
espanyol,RCD Espanyol,2026-08-16,0,,0,346,0,85,5,1.4,0.4,0.2,1.2,1.2,0.0,4.8,5.4,10,0.9,0.8,1.3,-0.5,1.0,0.2,0.8,1.0,4.8,0.8,0.2,0.8,1.6,3.0,,,,,,,1469.7915487087444,0,0
getafe,Getafe CF,2026-08-16,0,,0,342,0,85,5,1.4,0.4,0.2,0.8,0.8,0.0,2.8,4.0,10,1.6,0.9,0.8,0.09999999999999998,1.8,0.6,1.2,1.0,3.2,1.4,0.4,0.6,0.6,2.0,,,,,,,1492.8115288694028,0,0
levante,Levante UD,2026-08-16,0,,0,354,0,85,5,1.8,0.6,0.0,2.0,2.2,-0.20000000000000018,6.2,5.6,10,1.9,1.7,1.5,0.19999999999999996,3.0,1.0,2.4,0.8,6.0,0.8,0.2,1.0,2.2,4.8,,,,,,,1484.3659660848236,0,0
malaga,Málaga CF,2026-08-16,1,4.0,1,244,0,77,5,2.6,0.8,0.2,2.6,1.0,1.6,7.2,4.6,10,1.8,2.3,1.5,0.7999999999999998,1.6,0.4,1.4,1.0,6.2,2.0,0.6,2.6,1.4,5.6,,,,,,,1449.8796167201926,0,0
osasuna,CA Osasuna,2026-08-16,0,,0,304,0,85,5,0.0,0.0,0.0,1.0,2.0,-1.0,5.0,5.2,10,0.8,1.1,1.5,-0.3999999999999999,0.8,0.2,1.2,1.6,5.6,0.2,0.0,1.0,2.0,4.2,,,,,,,1472.152061291961,0,0
racing_santander,Racing de Santander,2026-08-16,1,1.0,1,168,0,77,5,2.6,0.8,0.2,3.0,1.2,1.8,8.8,3.8,10,2.3,2.8,1.5,1.2999999999999998,3.0,1.0,4.0,1.2,10.2,1.6,0.4,1.6,1.8,6.4,,,,,,,1470.7098994240723,0,0
real_madrid,Real Madrid,2026-08-16,0,,0,380,0,85,5,2.4,0.8,0.0,1.8,0.8,1.0,4.4,3.8,10,2.0,1.7,1.1,0.5999999999999999,2.6,0.8,2.4,1.2,8.4,1.4,0.4,1.0,1.0,4.2,,,,,,,1643.8869079207884,0,0
real_sociedad,Real Sociedad,2026-08-16,0,,0,380,0,85,5,0.6,0.0,0.6,1.4,1.8,-0.40000000000000013,3.0,5.8,10,0.8,1.6,1.9,-0.2999999999999998,1.0,0.2,2.0,2.0,4.4,0.6,0.0,1.2,1.8,3.6,,,,,,,1489.5195498417131,0,0
sevilla,Sevilla FC,2026-08-16,0,,0,380,0,85,5,1.8,0.6,0.0,1.2,1.0,0.19999999999999996,4.8,2.6,10,1.2,0.9,1.3,-0.4,1.8,0.6,1.0,1.0,4.2,0.6,0.2,0.8,1.6,1.8,,,,,,,1467.2134536362496,0,0
valencia,Valencia CF,2026-08-16,0,,0,380,0,85,5,2.0,0.6,0.2,1.8,1.4,0.40000000000000013,3.6,3.8,10,1.7,1.6,1.3,0.30000000000000004,1.4,0.4,1.6,1.6,3.2,2.0,0.6,1.6,1.0,4.8,,,,,,,1512.7914332123023,0,0
vallecano,Rayo Vallecano,2026-08-16,0,,0,228,0,85,5,2.2,0.6,0.4,1.6,0.6,1.0,5.6,4.8,10,1.8,1.3,1.0,0.30000000000000004,2.2,0.6,1.6,0.8,6.4,1.4,0.4,1.0,1.2,4.6,,,,,,,1518.9810723253138,0,0
villarreal,Villarreal CF,2026-08-16,0,,0,380,0,84,5,1.4,0.4,0.2,2.6,1.6,1.0,4.8,5.4,10,1.7,2.1,1.3,0.8,2.4,0.8,3.4,1.4,6.8,1.0,0.2,0.8,1.2,2.6,,,,,,,1577.4033731013535,0,0
