team_id,team,simulations,expected_points_current,median_points,points_p05,points_p95,expected_goals_for,expected_goals_against,expected_goal_difference,expected_position,median_position,champion_probability_current,top4_probability_current,top6_probability,europe_top7_probability_current,relegation_probability_current,last_place_probability,champion_probability_preseason,top4_probability_preseason,europe_top7_probability_preseason,relegation_probability_preseason,expected_points_preseason,champion_probability_change,top4_probability_change,europe_top7_probability_change,relegation_probability_change,expected_points_change
barcelona,FC Barcelona,50000,74.66914,75.0,62.0,87.0,86.86824,42.1086,44.75964,1.80624,1.0,0.53748,0.96314,0.9904,0.99478,0.0,0.0,0.53748,0.96314,0.99478,0.0,74.66914,0.0,0.0,0.0,0.0,0.0
real_madrid,Real Madrid,50000,71.61856,72.0,59.0,84.0,75.27068,39.39168,35.879,2.33412,2.0,0.33054,0.91814,0.97396,0.98402,6e-05,0.0,0.33054,0.91814,0.98402,6e-05,71.61856,0.0,0.0,0.0,0.0,0.0
villarreal,Villarreal CF,50000,62.8004,63.0,50.0,75.0,70.87576,51.67574,19.20002,4.70112,4.0,0.05948,0.5956,0.79882,0.85564,0.0024,0.00032,0.05948,0.5956,0.85564,0.0024,62.8004,0.0,0.0,0.0,0.0,0.0
atletico_madrid,Atlético de Madrid,50000,61.38876,61.0,49.0,74.0,62.71368,44.77892,17.93476,5.21264,4.0,0.04216,0.5199,0.74662,0.81166,0.00396,0.00038,0.04216,0.5199,0.81166,0.00396,61.38876,0.0,0.0,0.0,0.0,0.0
betis,Real Betis,50000,57.87236,58.0,45.0,71.0,58.69458,49.14372,9.55086,6.73396,6.0,0.01768,0.3332,0.57548,0.66398,0.01312,0.00232,0.01768,0.3332,0.66398,0.01312,57.87236,0.0,0.0,0.0,0.0,0.0
celta,RC Celta,50000,51.89406,52.0,39.0,65.0,54.37304,53.54734,0.8257,9.86288,9.0,0.00302,0.11326,0.2726,0.35624,0.06458,0.01356,0.00302,0.11326,0.35624,0.06458,51.89406,0.0,0.0,0.0,0.0,0.0
vallecano,Rayo Vallecano,50000,50.71326,51.0,38.0,63.0,43.17528,45.45518,-2.2799,10.54408,10.0,0.0017,0.0831,0.22104,0.29878,0.08406,0.01888,0.0017,0.0831,0.29878,0.08406,50.71326,0.0,0.0,0.0,0.0,0.0
athletic_bilbao,Athletic Club,50000,50.58172,51.0,38.0,63.0,48.47394,49.01134,-0.5374,10.62608,10.0,0.002,0.08272,0.21696,0.29336,0.08606,0.01958,0.002,0.08272,0.29336,0.08606,50.58172,0.0,0.0,0.0,0.0,0.0
valencia,Valencia CF,50000,49.68972,50.0,38.0,62.0,48.34354,52.24482,-3.90128,11.15432,11.0,0.00116,0.0683,0.18558,0.25338,0.10526,0.02496,0.00116,0.0683,0.25338,0.10526,49.68972,0.0,0.0,0.0,0.0,0.0
real_sociedad,Real Sociedad,50000,49.37406,49.0,37.0,62.0,52.0627,55.00864,-2.94594,11.33498,11.0,0.00114,0.06322,0.17476,0.24218,0.11554,0.02872,0.00114,0.06322,0.24218,0.11554,49.37406,0.0,0.0,0.0,0.0,0.0
